"id","nombre","descripcion","precio","imagen_url","categoria_id","estado","destacado","stock","activo","fecha_creacion"
"2","Botines Fútbol Profesional X1","Botines profesionales con tapones de aluminio. Perfectos para superficies de césped natural y competición de alto nivel.","300.00","sours/img/articulos/producto_696cf4341a2808.35518106.jpg","10","normal","1","18","0","2026-01-18 11:52:35"
"3","Zapatillas Deportivas Premium","Zapatillas multideporte de gama premium. Ideales para entrenamientos intensivos y uso diario deportivo.","129.99","sours/img/articulos/zapatillas-deportivas-premium.jpg","9","destacado","1","30","0","2026-01-18 11:52:35"
"4","Producto Exclusivo Edición Limitada","Artículo exclusivo de colección limitada. Solo 100 unidades numeradas disponibles. Incluye certificado de autenticidad.","299.99","sours/img/articulos/producto-exclusivo-limitado.jpg","12","destacado","1","6","1","2026-01-18 11:52:35"
"5","Accesorio Deportivo Premium","Accesorio deportivo de última generación. Material resistente y diseño ergonómico para máxima comodidad.","79.99","sours/img/articulos/accesorio-deportivo-premium.jpg","10","recien_agregado","1","33","1","2026-01-18 11:52:35"
"6","Artículo Especial Único","Producto especial con características únicas. Diseñado para deportistas exigentes que buscan lo mejor.","159.99","sours/img/articulos/articulo-especial-unico.jpg","10","recien_agregado","1","22","1","2026-01-18 11:52:35"
"7","Elemento Coleccionable Especial","Pieza de colección exclusiva para verdaderos fanáticos. Perfecto para exhibir o regalar.","249.99","sours/img/articulos/elemento-coleccionable-especial.jpg","12","recien_agregado","1","3","1","2026-01-18 11:52:35"
"8","Zapatillas Casuales Comfort","Zapatillas urbanas ultra cómodas. Perfectas para uso diario casual. ¡PRECIO ESPECIAL!","59.99","sours/img/articulos/producto_697ec84184ca91.49011290.jpg","9","oferta","0","50","1","2026-01-18 11:52:35"
"9","Calzado Urbano Casual","Calzado urbano de estilo moderno. Combina moda y comodidad. ¡OFERTA LIMITADA!","49.99","sours/img/articulos/calzado-urbano-casual.jpg","9","oferta","0","38","0","2026-01-18 11:52:35"
"10","Camiseta Vintage Retro Classic","Camiseta retro de los años 90. Réplica exacta del diseño original. Material premium de algodón.","89.99","sours/img/articulos/camiseta-vintage-retro.jpg","12","destacado","0","15","1","2026-01-18 11:52:35"
"11","Botines Clásicos Vintage","Botines de estilo clásico inspirados en modelos legendarios. Para los amantes del fútbol tradicional.","119.99","sours/img/articulos/botines-clasicos-vintage.jpg","12","normal","0","12","1","2026-01-18 11:52:35"
"12","Zapatillas Training Pro","Zapatillas versátiles para entrenamiento. Excelente relación calidad-precio.","79.99","sours/img/articulos/zapatillas-running-elite.jpg","9","normal","0","60","1","2026-01-18 11:52:35"
"13","Bolso Deportivo Grande","Bolso espacioso para equipamiento deportivo. Múltiples compartimentos y material impermeable.","45.99","sours/img/articulos/accesorio-deportivo-premium.jpg","10","normal","0","75","1","2026-01-18 11:52:35"
"14","Camiseta Técnica Deportiva","Camiseta técnica transpirable. Tejido de alta tecnología que elimina la humedad.","34.99","sours/img/articulos/camiseta-vintage-retro.jpg","9","normal","0","100","1","2026-01-18 11:52:35"
"15","Shorts Deportivos Performance","Shorts ligeros de alto rendimiento. Perfectos para correr y entrenar.","29.99","sours/img/articulos/accesorio-deportivo-premium.jpg","9","normal","0","85","1","2026-01-18 11:52:35"
"16","Medias Técnicas Compresión","Medias de compresión profesional. Mejoran circulación y recuperación muscular.","19.99","sours/img/articulos/articulo-especial-unico.jpg","9","normal","0","120","1","2026-01-18 11:52:35"
"17","Guantes de Arquero Pro","Guantes profesionales con grip superior. Látex de alta calidad para máximo agarre.","69.99","sours/img/articulos/botines-futbol-profesional.jpg","9","normal","0","28","1","2026-01-18 11:52:35"
"18","Balón Fútbol Match Quality","Balón de fútbol calidad match. Certificado para competición oficial.","39.99","sours/img/articulos/producto-exclusivo-limitado.jpg","9","normal","0","42","1","2026-01-18 11:52:35"
"19","Botella Deportiva Premium","Botella de acero inoxidable 750ml. Mantiene temperatura por 24 horas.","24.99","sours/img/articulos/accesorio-deportivo-premium.jpg","10","normal","0","95","1","2026-01-18 11:52:35"
"20","Toalla Deportiva Microfibra","Toalla de microfibra de secado rápido. Compacta y ultra absorbente.","14.99","sours/img/articulos/articulo-especial-unico.jpg","10","normal","0","110","1","2026-01-18 11:52:35"
"21","Edición Especial Coleccionista","Artículo de edición especial AGOTADO. Próximamente nueva disponibilidad.","199.99","sours/img/articulos/elemento-coleccionable-especial.jpg","12","destacado","1","0","1","2026-01-18 11:52:35"
"23","Aros de colores45","aros pasa saltar y divertirte jeje","500.00","sours/img/articulos/producto_697181e55f1fe6.31336635.png","11","oferta","0","15","1","2026-01-18 11:56:11"
